shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507118225098,-83.0598297119141,55
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.350715637207,-83.0598297119141,56
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507232666016,-83.0598297119141,57
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507232666016,-83.0598220825195,58
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507194519043,-83.0598220825195,59
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507232666016,-83.059814453125,60
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507308959961,-83.0598220825195,61
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507347106934,-83.0598220825195,62
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507461547852,-83.0598220825195,63
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507499694824,-83.0598220825195,64
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507423400879,-83.0598220825195,65
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3507308959961,-83.0598220825195,66
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.350715637207,-83.0598297119141,67
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3506202697754,-83.0600814819336,68
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3504753112793,-83.0604095458984,69
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3502998352051,-83.0608062744141,70
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3500671386719,-83.0613174438477,71
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3498649597168,-83.0618286132813,72
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3496627807617,-83.0623092651367,73
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3495330810547,-83.0626220703125,74
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3495254516602,-83.0626373291016,75
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3494834899902,-83.0627822875977,76
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3496208190918,-83.06298828125,77
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3499984741211,-83.0632095336914,78
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3503952026367,-83.0634460449219,79
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3508033752441,-83.0636825561523,80
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.351188659668,-83.0639038085938,81
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3514747619629,-83.0640640258789,82
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3517074584961,-83.0641937255859,83
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3517684936523,-83.0642318725586,84
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3517799377441,-83.0643692016602,85
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3517112731934,-83.064582824707,86
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3516998291016,-83.0645904541016,87
8b7fe932-b515-432c-8c64-7adbcec53e09-PATH,42.3515777587891,-83.0648727416992,88
